Gene,Description,padj_maSigPro,clusters_maSigPro,Fold_change_h_vs_c,padj_h_vs_c,Fold_change_p_vs_c,padj_p_vs_c,Fold_change_a_vs_c,padj_a_vs_c,Fold_change_r_vs_c,padj_r_vs_c,Fold_change_a_vs_r,padj_a_vs_r,Fold_change_h_vs_a,padj_h_vs_a
TCAL_01306,Similar to C9orf78 Uncharacterized protein C9orf78 (Homo sapiens),0.000470868,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01313,Protein of unknown function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41219081,0.08512094,NA,NA
TCAL_01314,Similar to Phospholipase A2 isozymes PA3A/PA3B/PA5 (Heloderma suspectum),0.001134774,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01315,Similar to srr Probable serine racemase (Dictyostelium discoideum),7.00E-05,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01322,Similar to JUN Transcription factor AP-1 (Gallus gallus),3.54E-08,6,NA,NA,-0.322953077,0.001745636,-0.339105469,0.000486819,-0.24703267,0.02694199,NA,NA,NA,NA
TCAL_01330,Protein of unknown function,1.49E-06,2,NA,NA,0.339569284,0.013591611,0.365219017,0.003479817,NA,NA,NA,NA,NA,NA
TCAL_01333,Similar to ZNF585B Zinc finger protein 585B (Homo sapiens),0.000190516,5,NA,NA,NA,NA,NA,NA,-0.38814983,0.065763208,-0.514549009,0.005369988,NA,NA
TCAL_01339,Similar to KAT8 Histone acetyltransferase KAT8 (Homo sapiens),1.90E-09,2,NA,NA,NA,NA,0.452182089,0.000816873,NA,NA,-0.469583488,0.000565088,NA,NA
TCAL_01347,Similar to MTAP S-methyl-5'-thioadenosine phosphorylase (Macaca mulatta),0.00087357,8,NA,NA,NA,NA,-0.286072012,0.08773119,NA,NA,NA,NA,NA,NA
TCAL_01360,Similar to Slc25a32 Mitochondrial folate transporter/carrier (Mus musculus),0.000550666,4,NA,NA,NA,NA,NA,NA,NA,NA,0.731132943,0.086183558,NA,NA
TCAL_01380,Similar to Eef2k Eukaryotic elongation factor 2 kinase (Mus musculus),8.04E-16,2,0.427784573,0.002854739,0.521970553,2.20E-05,0.705098265,2.26E-10,NA,NA,-0.725748028,6.39E-11,NA,NA
TCAL_01381,calmodulin-2 4-like,6.55E-05,2,NA,NA,NA,NA,0.73350162,0.005362453,NA,NA,NA,NA,NA,NA
TCAL_01384,Similar to rgn Regucalcin (Xenopus laevis),0.000872464,6,NA,NA,NA,NA,NA,NA,-0.180840072,0.091000195,-0.250031504,0.006616322,NA,NA
TCAL_01402,Similar to Carboxypeptidase B (Astacus astacus),2.12E-06,8,NA,NA,-0.268939206,0.033770663,-0.344069092,0.001144635,-0.327367066,0.002192718,NA,NA,NA,NA
TCAL_01409,Similar to CALCOCO2 Calcium-binding and coiled-coil domain-containing protein 2 (Homo sapiens),0.001262309,7,NA,NA,NA,NA,0.19195802,0.075986258,NA,NA,NA,NA,NA,NA
TCAL_01416,Similar to agmo Alkylglycerol monooxygenase (Xenopus tropicalis),0.000242578,7,NA,NA,NA,NA,NA,NA,0.527465066,0.007765425,NA,NA,NA,NA
TCAL_01441,Similar to Cyt-b5 Cytochrome b5 (Drosophila melanogaster),0.000638147,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01455,Similar to AAEL008004 Elongation of very long chain fatty acids protein AAEL008004 (Aedes aegypti),0.000142502,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01456,Protein of unknown function,1.66E-07,2,NA,NA,0.472472116,0.00615983,0.612627868,3.30E-05,NA,NA,NA,NA,NA,NA
TCAL_01463,Similar to obst-E Protein obstructor-E (Drosophila melanogaster),0.000879831,8,-0.998854463,0.015963756,-0.83052702,0.044724619,-0.896012835,0.014833042,-1.013506126,0.003752949,NA,NA,NA,NA
TCAL_01465,serine protease inhibitor Kazal-type 1-like,NA,NA,NA,NA,NA,NA,0.279523697,0.041314234,NA,NA,NA,NA,NA,NA
TCAL_01466,Similar to MMP9 Matrix metalloproteinase-9 (Canis lupus familiaris),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.585629887,0.030261564,NA,NA
TCAL_01471,Protein of unknown function,3.63E-05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01493,transforming growth factor-beta-induced ig-h3,0.000547837,2,NA,NA,NA,NA,0.425533317,0.029409793,NA,NA,NA,NA,NA,NA
TCAL_01495,Protein of unknown function,0.002819461,4,NA,NA,NA,NA,NA,NA,1.304701335,0.01014947,NA,NA,NA,NA
TCAL_01497,Protein of unknown function,NA,NA,NA,NA,NA,NA,NA,NA,1.808266062,0.084799438,NA,NA,NA,NA
TCAL_01503,Similar to EAG_12746 Diuretic hormone class 2 (Camponotus floridanus),8.86E-05,4,-0.938662981,0.003440034,-0.683868445,0.053580055,-1.40785051,3.74E-08,NA,NA,0.893289836,0.003724604,NA,NA
TCAL_01505,Similar to LRRC20 Leucine-rich repeat-containing protein 20 (Homo sapiens),2.04E-05,7,NA,NA,NA,NA,0.442289216,0.010816469,0.469727939,0.005243411,NA,NA,NA,NA
TCAL_01527,Similar to rl Mitogen-activated protein kinase ERK-A (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.230926965,0.096419195,NA,NA
TCAL_01534,Similar to Hsp83 Heat shock protein 83 (Fragment) (Drosophila simulans),0.000154162,8,NA,NA,-0.655071,0.016309037,-0.656034394,0.01073302,-0.538808578,0.060854159,NA,NA,NA,NA
TCAL_01542,Similar to mdh Malate dehydrogenase (Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)),3.93E-16,9,NA,NA,NA,NA,0.158922361,0.021665865,-0.185601897,0.005834019,-0.344524257,3.57E-10,NA,NA
TCAL_01551,cuticle -like,1.45E-52,2,0.778393005,1.92E-13,1.151686043,8.36E-32,1.386708999,1.90E-47,0.68405409,6.79E-11,-0.702654909,1.43E-12,-0.608315994,2.40E-08
TCAL_01566,Similar to Fjx1 Four-jointed box protein 1 (Mus musculus),4.98E-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01576,Similar to Plscr2 Phospholipid scramblase 2 (Mus musculus),0.00226308,1,NA,NA,NA,NA,NA,NA,0.233273743,0.074983862,0.316736323,0.005894277,NA,NA
TCAL_01584,Similar to Rps3 40S ribosomal protein S3 (Rattus norvegicus),4.21E-05,6,NA,NA,-0.113724338,0.061341971,-0.102894427,0.079798664,NA,NA,NA,NA,NA,NA
TCAL_01587,Similar to Lonrf3 LON peptidase N-terminal domain and RING finger protein 3 (Mus musculus),1.01E-05,1,-0.470337905,0.000699946,-0.323066305,0.045162539,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01591,Protein of unknown function,0.000778792,9,NA,NA,NA,NA,NA,NA,NA,NA,-0.252208807,0.08392604,NA,NA
TCAL_01598,Similar to Dnajb9 DnaJ homolog subfamily B member 9 (Rattus norvegicus),0.000783091,4,NA,NA,NA,NA,NA,NA,NA,NA,0.454612953,0.078447298,NA,NA
TCAL_01616,Similar to At1g12160 Flavin-containing monooxygenase FMO GS-OX-like 1 (Arabidopsis thaliana),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.200922212,0.042477426,NA,NA
TCAL_01621,Protein of unknown function,0.000755544,1,NA,NA,NA,NA,NA,NA,2.368678294,0.03827328,2.214127285,0.072664262,NA,NA
TCAL_01633,Protein of unknown function,NA,NA,NA,NA,NA,NA,-0.40794744,0.040008547,NA,NA,NA,NA,NA,NA
TCAL_01642,Similar to Ttc26 Intraflagellar transport protein 56 (Mus musculus),NA,NA,NA,NA,NA,NA,0.688653445,0.07548555,NA,NA,-0.773899187,0.046211785,NA,NA
TCAL_01646,Similar to nfil3 Nuclear factor interleukin-3-regulated protein (Danio rerio),2.06E-08,3,1.067083205,0.062759186,1.503643192,0.000215276,1.928903786,1.09E-07,1.359520294,0.000858054,NA,NA,NA,NA
TCAL_01675,Similar to Tret1-2 Facilitated trehalose transporter Tret1-2 homolog (Drosophila simulans),1.15E-09,6,NA,NA,-0.498374644,0.001777692,-0.434697794,0.006842875,-0.649930501,4.40E-06,NA,NA,NA,NA
TCAL_01678,Similar to ANPEP Aminopeptidase N (Felis catus),4.97E-08,7,0.2833171,0.068179189,0.315334153,0.012074822,0.402696697,0.000182027,0.472241607,3.19E-06,NA,NA,NA,NA
TCAL_01682,Similar to ninaB Carotenoid isomerooxygenase (Galleria mellonella),1.49E-37,1,NA,NA,4.114007112,0.000507114,4.830608861,5.99E-06,6.632264021,1.15E-11,1.80165516,9.90E-06,-2.39461449,0.003689572
TCAL_01691,"Similar to Gls Glutaminase kidney isoform, mitochondrial (Mus musculus)",9.65E-09,6,NA,NA,-0.448320233,0.000252278,-0.469337259,6.09E-05,-0.338039255,0.010768191,NA,NA,NA,NA
TCAL_01703,Protein of unknown function,0.000384602,2,NA,NA,0.494796389,0.064863637,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01734,Similar to cho-1 High-affinity choline transporter 1 (Caenorhabditis elegans),0.000140811,8,NA,NA,NA,NA,NA,NA,-0.375239225,0.081949299,NA,NA,NA,NA
TCAL_01737,Similar to Slc22a7 Solute carrier family 22 member 7 (Mus musculus),9.88E-22,7,NA,NA,0.721857462,4.66E-05,0.971046281,9.79E-10,1.164052522,4.17E-14,NA,NA,-0.740002618,0.000102045
TCAL_01744,Similar to Nkrf NF-kappa-B-repressing factor (Mus musculus),0.004155406,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01755,Protein of unknown function,NA,NA,NA,NA,0.942805129,0.042253438,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01756,Similar to GFPT1 Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (Homo sapiens),0.000126802,4,NA,NA,NA,NA,NA,NA,NA,NA,0.264109662,0.012307848,NA,NA
TCAL_01760,Similar to Oxa1l Mitochondrial inner membrane protein OXA1L (Mus musculus),0.003611743,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01769,Similar to CarT Carcinine transporter (Drosophila melanogaster),1.98E-06,8,NA,NA,-0.363310863,0.035162984,-0.342571136,0.035383204,-0.506242566,0.000270245,NA,NA,NA,NA
TCAL_01770,Protein of unknown function,NA,NA,NA,NA,NA,NA,-1.24349373,0.038105819,NA,NA,NA,NA,NA,NA
TCAL_01775,Similar to RCN3 Reticulocalbin-3 (Homo sapiens),3.99E-05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01776,Similar to CMTM4 CKLF-like MARVEL transmembrane domain-containing protein 4 (Homo sapiens),1.24E-07,8,NA,NA,-0.30294608,0.021559366,-0.408191398,0.000199166,-0.324878265,0.006503153,NA,NA,NA,NA
TCAL_01783,uncharacterized oxidoreductase dhs-27-like,0.001046937,4,NA,NA,NA,NA,NA,NA,0.18958054,0.049834218,NA,NA,NA,NA
TCAL_01788,Similar to tp53 Cellular tumor antigen p53 (Xiphophorus maculatus),3.48E-14,2,0.547126612,0.031141259,0.648020444,0.001430958,0.788531797,1.31E-05,NA,NA,-1.067044787,7.01E-10,NA,NA
TCAL_01798,Similar to hebp1 Heme-binding protein 1 (Xenopus tropicalis),0.000452933,2,0.449495616,0.016515782,NA,NA,0.436555463,0.007686527,NA,NA,-0.602775512,3.45E-05,NA,NA
TCAL_01845,Similar to Nxnl2 Nucleoredoxin-like protein 2 (Mus musculus),0.000763202,4,NA,NA,NA,NA,-0.346243211,0.017722652,NA,NA,NA,NA,NA,NA
TCAL_01882,Similar to amt-3 Putative ammonium transporter 3 (Caenorhabditis elegans),3.28E-06,2,NA,NA,0.359893407,0.071734907,0.470865292,0.002802691,NA,NA,NA,NA,NA,NA
TCAL_01895,Protein of unknown function,NA,NA,NA,NA,NA,NA,0.471231419,0.012709683,NA,NA,NA,NA,NA,NA
TCAL_01902,Similar to THOC2 THO complex subunit 2 (Rhinolophus ferrumequinum),0.001783802,2,0.370554233,0.083386322,0.352290813,0.065021431,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01903,Protein of unknown function,4.81E-07,2,0.352403004,0.061969033,0.394428104,0.009560165,0.576218209,4.91E-06,NA,NA,-0.386278714,0.010712426,NA,NA
TCAL_01916,Similar to CG31559 Glutaredoxin domain-containing cysteine-rich protein CG31559 (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.454025047,0.079120715,NA,NA
TCAL_01955,Protein of unknown function,0.000581119,1,NA,NA,NA,NA,NA,NA,NA,NA,1.147501623,0.011057335,NA,NA
TCAL_01956,Similar to Glod4 Glyoxalase domain-containing protein 4 (Mus musculus),2.29E-05,8,NA,NA,NA,NA,-0.260246588,0.015845314,-0.277718883,0.008037514,NA,NA,NA,NA
TCAL_01958,Protein of unknown function,7.86E-06,6,NA,NA,-0.713242431,0.040810822,-0.73600878,0.020198954,-0.934899208,0.001042172,NA,NA,NA,NA
TCAL_01961,Similar to Tuba1c Tubulin alpha-1C chain (Mus musculus),NA,NA,NA,NA,NA,NA,NA,NA,0.237287588,0.076265308,NA,NA,NA,NA
TCAL_01967,Protein of unknown function,0.000437865,1,NA,NA,NA,NA,0.676097906,0.085952704,NA,NA,NA,NA,NA,NA
TCAL_01975,Similar to cah-5 Putative carbonic anhydrase 5 (Caenorhabditis elegans),8.17E-10,2,0.379243508,0.009314732,0.421095247,0.000825819,0.634978008,3.90E-09,NA,NA,-0.488255194,2.74E-05,NA,NA
TCAL_01980,Similar to RAPGEF1 Rap guanine nucleotide exchange factor 1 (Homo sapiens),0.00855251,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01982,Similar to Orct2 Organic cation transporter-like protein (Drosophila melanogaster),0.001271538,2,NA,NA,0.306403624,0.061341971,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01998,Similar to SDR39U1 Epimerase family protein SDR39U1 (Bos taurus),NA,NA,NA,NA,NA,NA,NA,NA,-0.30378829,0.090117188,NA,NA,NA,NA
TCAL_01999,Protein of unknown function,1.29E-07,7,NA,NA,NA,NA,0.902672903,0.001583325,0.732702995,0.021515481,NA,NA,-0.997108036,0.002997983
TCAL_02002,Similar to CLPTM1L Cleft lip and palate transmembrane protein 1-like protein (Gallus gallus),0.000280342,9,NA,NA,NA,NA,NA,NA,NA,NA,-0.200139925,0.023590865,NA,NA
TCAL_02011,Similar to gsb-n Protein gooseberry-neuro (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,NA,NA,-0.294577755,0.026809138,NA,NA,NA,NA
TCAL_02014,Protein of unknown function,NA,NA,NA,NA,1.326024316,0.09462727,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_02017,Similar to PGM3 Phosphoacetylglucosamine mutase (Sus scrofa),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.619562224,0.042438914,NA,NA
TCAL_02025,Protein of unknown function,5.57E-10,6,-0.345326171,0.068009351,-0.488074276,0.00036686,-0.535214238,3.15E-05,-0.531132603,3.43E-05,NA,NA,NA,NA
TCAL_02032,Similar to ddr-1 Discoidin domain-containing receptor A (Caenorhabditis elegans),8.05E-06,2,NA,NA,1.105793142,0.057703017,1.237077733,0.012364422,NA,NA,NA,NA,NA,NA
TCAL_02034,Similar to SMYD4 SET and MYND domain-containing protein 4 (Pongo abelii),NA,NA,NA,NA,NA,NA,-0.221926419,0.088367054,NA,NA,NA,NA,NA,NA
TCAL_02050,Similar to CCT7 T-complex protein 1 subunit eta (Gallus gallus),NA,NA,NA,NA,NA,NA,-0.267027766,0.026289553,-0.254920236,0.0399051,NA,NA,NA,NA
TCAL_02060,Similar to IMP3 U3 small nucleolar ribonucleoprotein protein IMP3 (Homo sapiens),0.00026032,6,NA,NA,NA,NA,-0.290716389,0.01519054,NA,NA,NA,NA,NA,NA
TCAL_02062,Similar to thbs1 Thrombospondin-1 (Xenopus laevis),0.002863081,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_02065,Protein of unknown function,0.001115895,3,NA,NA,NA,NA,0.211573146,0.044474226,NA,NA,NA,NA,NA,NA
TCAL_02066,Similar to Gbeta76C Guanine nucleotide-binding protein subunit beta-2 (Drosophila melanogaster),1.66E-05,1,NA,NA,NA,NA,NA,NA,0.394830807,0.061222448,0.406331376,0.05946835,NA,NA
TCAL_02085,Similar to CHIA Acidic mammalian chitinase (Bos taurus),NA,NA,NA,NA,NA,NA,-0.315783264,0.029029335,-0.276840351,0.07856815,NA,NA,NA,NA
TCAL_02088,Protein of unknown function,9.98E-08,8,NA,NA,-0.955192429,4.73E-07,-0.658669241,0.001650648,-0.984035555,8.87E-08,NA,NA,NA,NA
TCAL_02100,Similar to CSTF2 Cleavage stimulation factor subunit 2 (Pongo abelii),NA,NA,NA,NA,NA,NA,-0.321538065,0.061002472,NA,NA,NA,NA,NA,NA
TCAL_02114,circumsporozoite -like,NA,NA,NA,NA,2.310281118,0.052716607,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_02126,Similar to Gbs-76A Glycogen-binding subunit 76A (Drosophila melanogaster),4.98E-25,2,0.514809918,0.000440415,0.82843516,6.31E-12,1.181957117,3.92E-25,0.48895489,0.000305813,-0.693002227,1.91E-08,-0.6671472,8.66E-07
TCAL_02129,Similar to LAC Lachesin (Schistocerca americana),NA,NA,NA,NA,NA,NA,NA,NA,-0.291850545,0.067075143,NA,NA,NA,NA
TCAL_02138,Similar to salm Homeotic protein spalt-major (Drosophila melanogaster),9.06E-06,2,NA,NA,NA,NA,NA,NA,-0.511056308,0.0317333,-0.791214388,4.28E-05,NA,NA
TCAL_02145,Similar to pip Heparan sulfate 2-O-sulfotransferase pipe (Drosophila melanogaster),2.05E-07,4,-0.263521827,0.060577527,-0.315110422,0.003953764,-0.310779035,0.003087846,NA,NA,NA,NA,NA,NA
TCAL_02167,Similar to nhr-14 Nuclear hormone receptor family member nhr-14 (Caenorhabditis elegans),5.83E-12,5,NA,NA,NA,NA,NA,NA,-0.821654477,6.81E-06,-1.075523114,2.24E-10,NA,NA
TCAL_02170,Similar to shv DnaJ homolog shv (Drosophila melanogaster),2.46E-05,4,NA,NA,-0.30215941,0.054669597,-0.399110025,0.001699567,NA,NA,0.305596008,0.042708555,NA,NA
TCAL_02173,Similar to DSPTP1 Dual specificity protein phosphatase 1 (Arabidopsis thaliana),0.001285365,6,-0.78866501,0.009896134,NA,NA,-0.770126325,0.003479817,-0.566961346,0.063670539,NA,NA,NA,NA
TCAL_02187,Similar to leng8 Leukocyte receptor cluster member 8 homolog (Xenopus laevis),1.75E-06,4,NA,NA,NA,NA,-0.607328837,1.79E-05,NA,NA,0.571015275,9.77E-05,0.541924784,0.001967284
TCAL_02196,Similar to Ace Acetylcholinesterase (Anopheles gambiae),0.002021304,6,NA,NA,NA,NA,-0.295229589,0.045519066,-0.273928165,0.081687498,NA,NA,NA,NA
TCAL_02200,"Similar to lrpprc Leucine-rich PPR motif-containing protein, mitochondrial (Xenopus tropicalis)",7.91E-05,8,NA,NA,-0.349222055,0.016309037,-0.351685776,0.009865325,-0.323803075,0.022226883,NA,NA,NA,NA
TCAL_02201,Similar to Elp2 Probable elongator complex protein 2 (Drosophila melanogaster),7.43E-08,2,NA,NA,0.269208466,0.008651906,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_02210,Similar to Dohh Deoxyhypusine hydroxylase (Rattus norvegicus),NA,NA,NA,NA,NA,NA,-0.329689099,0.014849618,NA,NA,NA,NA,NA,NA
TCAL_02212,Similar to METTL27 Methyltransferase-like protein 27 (Homo sapiens),1.79E-06,8,NA,NA,-0.367160231,0.045162539,NA,NA,-0.485302494,0.001271255,NA,NA,NA,NA
TCAL_02215,Juvenile hormone-inducible,1.17E-13,3,NA,NA,0.71460834,0.003439145,1.11607595,1.08E-08,0.893588043,2.20E-05,NA,NA,-0.572759576,0.050940847
TCAL_02223,Similar to TTLL12 Tubulin--tyrosine ligase-like protein 12 (Homo sapiens),0.000636534,7,NA,NA,NA,NA,0.187029636,0.08619556,NA,NA,NA,NA,NA,NA
TCAL_02231,Similar to cat-4 GTP cyclohydrolase 1 (Caenorhabditis elegans),2.88E-08,8,NA,NA,-0.786482006,3.04E-05,-0.726573525,0.000109025,NA,NA,NA,NA,NA,NA
TCAL_02246,Similar to OSBPL8 Oxysterol-binding protein-related protein 8 (Homo sapiens),9.08E-10,9,NA,NA,NA,NA,NA,NA,-0.265683022,0.000531508,-0.344083053,1.34E-06,NA,NA
TCAL_02249,Similar to Prps1 Ribose-phosphate pyrophosphokinase 1 (Rattus norvegicus),NA,NA,NA,NA,NA,NA,0.250428623,0.055328001,0.257523622,0.049331419,NA,NA,NA,NA
TCAL_02260,"Similar to Hsp60 60 kDa heat shock protein, mitochondrial (Drosophila melanogaster)",6.14E-08,6,NA,NA,-0.231752261,0.00536379,-0.290210699,6.94E-05,-0.194432853,0.023693665,NA,NA,NA,NA
TCAL_02264,Similar to ccnl1 Cyclin-L1 (Danio rerio),NA,NA,NA,NA,NA,NA,0.274591919,0.050284779,NA,NA,NA,NA,NA,NA
TCAL_02265,Similar to inx2 Innexin inx2 (Schistocerca americana),6.60E-05,8,NA,NA,NA,NA,-0.487121294,0.015388936,NA,NA,NA,NA,NA,NA
TCAL_02270,Protein of unknown function,3.70E-05,2,NA,NA,0.379268478,0.013264923,0.313919787,0.047175673,NA,NA,NA,NA,NA,NA
TCAL_02274,Similar to Slc16a14 Monocarboxylate transporter 14 (Mus musculus),NA,NA,NA,NA,NA,NA,NA,NA,0.459608494,0.042195468,NA,NA,NA,NA
TCAL_02299,Similar to AQP11 Aquaporin-11 (Milnesium tardigradum),NA,NA,NA,NA,NA,NA,NA,NA,-0.595113715,0.006603075,-0.464775302,0.080247741,NA,NA
TCAL_02313,Similar to INSR Insulin receptor (Homo sapiens),0.000523929,8,-0.565962704,0.009896134,-0.459597735,0.040362045,-0.386680973,0.08619556,-0.421198599,0.054036636,NA,NA,NA,NA
TCAL_02314,Similar to pbsA2 Heme oxygenase 2 (Synechocystis sp. (strain PCC 6803 / Kazusa)),0.00075948,6,NA,NA,NA,NA,-0.324725051,0.027807044,-0.318562085,0.033992082,NA,NA,NA,NA
TCAL_02337,"Similar to SelD Selenide, water dikinase (Drosophila melanogaster)",NA,NA,NA,NA,NA,NA,NA,NA,-0.237207057,0.042195468,NA,NA,NA,NA
TCAL_02340,Similar to ppp1r10 Serine/threonine-protein phosphatase 1 regulatory subunit 10 (Xenopus laevis),NA,NA,NA,NA,NA,NA,NA,NA,-0.247270727,0.077100063,NA,NA,NA,NA
TCAL_02341,Similar to SORD Sorbitol dehydrogenase (Bos taurus),NA,NA,NA,NA,NA,NA,-0.275450652,0.092165413,NA,NA,NA,NA,NA,NA
TCAL_02348,Similar to dome Cytokine receptor (Drosophila melanogaster),9.25E-05,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.181767869,0.026539096,NA,NA
TCAL_02364,Similar to CAM53 Calmodulin-related protein (Petunia hybrida),0.000138309,8,NA,NA,NA,NA,-0.466227062,0.007799878,-0.423454109,0.020347852,NA,NA,NA,NA
TCAL_02366,Similar to Slc6a13 Sodium- and chloride-dependent GABA transporter 2 (Rattus norvegicus),0.000372412,1,NA,NA,NA,NA,NA,NA,0.178744513,0.090926821,0.191924828,0.068102903,NA,NA
TCAL_02371,Similar to Nupr1 Nuclear protein 1 (Rattus norvegicus),7.79E-07,9,NA,NA,NA,NA,NA,NA,-0.347628812,0.002192718,-0.552603972,2.54E-08,NA,NA
TCAL_02379,Protein of unknown function,0.00043424,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_02383,Similar to Nrk Tyrosine-protein kinase transmembrane receptor Ror2 (Drosophila melanogaster),0.00234306,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_02396,Similar to Ppm1e Protein phosphatase 1E (Rattus norvegicus),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.927541566,0.03144154,NA,NA
TCAL_02409,Similar to abnB Intracellular endo-alpha-(1-5)-L-arabinanase (Geobacillus stearothermophilus),NA,NA,NA,NA,NA,NA,NA,NA,-0.369476802,0.058835146,NA,NA,NA,NA
TCAL_02413,Similar to twk-18 TWiK family of potassium channels protein 18 (Caenorhabditis elegans),3.65E-07,1,NA,NA,NA,NA,NA,NA,0.505338698,0.041746019,NA,NA,NA,NA
TCAL_02414,Similar to Cenpv Centromere protein V (Mus musculus),6.60E-07,5,NA,NA,NA,NA,0.517873952,0.012406376,NA,NA,-0.61889866,0.001974008,NA,NA
TCAL_02419,Similar to SLC6A5 Sodium- and chloride-dependent glycine transporter 2 (Homo sapiens),4.04E-10,9,NA,NA,NA,NA,NA,NA,-1.352010558,1.93E-12,-1.3276599,6.35E-12,NA,NA
TCAL_02439,Similar to CD63 CD63 antigen (Bos taurus),2.08E-21,9,NA,NA,NA,NA,NA,NA,-2.814752893,9.00E-34,-3.364232984,2.42E-48,NA,NA
TCAL_02449,Similar to Znhit3 Zinc finger HIT domain-containing protein 3 (Mus musculus),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.273436886,0.012750022,NA,NA
TCAL_02476,Similar to SLC5A7 High affinity choline transporter 1 (Homo sapiens),2.39E-09,8,NA,NA,-0.525670127,0.000749829,-0.516469861,0.000595812,-0.595516405,3.53E-05,NA,NA,NA,NA
TCAL_02478,Similar to SLC34A1 Sodium-dependent phosphate transport protein 2A (Oryctolagus cuniculus),0.000133367,1,NA,NA,NA,NA,NA,NA,0.4797793,0.063670539,NA,NA,NA,NA
TCAL_02479,Similar to Cyt-b5-r Cytochrome b5-related protein (Drosophila melanogaster),0.000483103,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_02483,Similar to Rheb GTP-binding protein Rheb (Rattus norvegicus),0.000111709,7,NA,NA,NA,NA,0.485567172,0.00964362,0.461301593,0.016044501,NA,NA,NA,NA
TCAL_02491,Protein of unknown function,0.000904813,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_02495,"Similar to NUDT9 ADP-ribose pyrophosphatase, mitochondrial (Homo sapiens)",0.000132517,2,NA,NA,NA,NA,0.329166145,0.002541239,NA,NA,NA,NA,NA,NA
TCAL_02498,Similar to PK1-R Pyrokinin-1 receptor (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,0.584444022,0.090530171,NA,NA,NA,NA,NA,NA
TCAL_02499,Similar to ARSI Arylsulfatase I (Homo sapiens),0.000101598,2,NA,NA,NA,NA,0.384079684,0.021197553,NA,NA,NA,NA,NA,NA
TCAL_02513,Similar to SLC14A2 Urea transporter 2 (Homo sapiens),5.39E-11,8,NA,NA,NA,NA,NA,NA,-0.611180896,1.26E-07,-0.377917089,0.008224696,NA,NA
TCAL_02519,Similar to rom-1 Rhomboid-related protein 1 (Caenorhabditis elegans),0.001516169,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_02520,Protein of unknown function,0.000127018,2,0.54746223,0.014659095,NA,NA,0.575568267,0.001944837,NA,NA,-0.599150006,0.001416587,NA,NA
TCAL_02523,Protein of unknown function,7.60E-05,9,NA,NA,NA,NA,NA,NA,NA,NA,-0.225280049,0.069609475,NA,NA
TCAL_02543,Protein of unknown function,0.000689459,3,NA,NA,NA,NA,1.763879021,0.001017996,NA,NA,NA,NA,NA,NA
